arm,status,family,tuning,term,n,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
harm_control,primary,gemma,pretrained,sign_c,1500,-0.044349130439265944,8.960578855268192e-10,-0.044349130439265486,0.051330535072263594,-0.8639911969908433,0.4062031015507754,30,1999
nonharm_pooled,primary,gemma,pretrained,sign_c,1650,0.09447401273985293,1.4493525688147042e-12,0.09447401273985359,0.09110628259827713,1.036964850782312,0.3321660830415208,26,1999
loyalty,exploratory,gemma,pretrained,sign_c,500,-0.2500236576619681,9.642067985408314e-72,-0.25002365766196794,0.10296504817843488,-2.4282381457121796,0.03951975987993997,10,1999
authority,exploratory,gemma,pretrained,sign_c,450,0.5252245241575113,2.1997802335608734e-140,0.5252245241575121,0.15429668593576767,3.4039909604808902,0.015507753876938469,9,1999
fairness,exploratory,gemma,pretrained,sign_c,400,0.17890367751947872,9.210199313948648e-21,0.17890367751947928,0.1431670010642386,1.2496153177030351,0.22511255627813906,8,1999
purity,exploratory,gemma,pretrained,sign_c,300,-0.09006185675643459,4.0075763425031606e-11,-0.0900618567564353,0.10463696005182949,-0.860707886695344,0.35617808904452225,6,1999
harm_vs_nonharm_pooled,primary,gemma,pretrained,sign_c:arm_c,3150,-0.1388231431791188,6.045440590048185e-14,-0.13882314317911842,0.11332627954791215,-1.224986329145542,0.23961980990495246,34,1999
harm_control,primary,gemma,finetuned,sign_c,1500,1.0993971204890511,1.0498452343619298e-129,1.0993971204890545,0.3230397841714952,3.4032870697604447,0.0010005002501250625,30,1999
nonharm_pooled,primary,gemma,finetuned,sign_c,1650,2.3372026165487125,1.1167717129941927e-294,2.3372026165487307,0.3462121928601707,6.750780777650681,0.0,26,1999
loyalty,exploratory,gemma,finetuned,sign_c,500,1.5097808485284574,1.5395391638754038e-181,1.5097808485284547,0.38791217371890785,3.892068748588655,0.006003001500750375,10,1999
authority,exploratory,gemma,finetuned,sign_c,450,4.15400341405715,0.0,4.154003414057156,0.6761244504745589,6.143844393057432,0.0010005002501250625,9,1999
fairness,exploratory,gemma,finetuned,sign_c,400,2.245000143636082,2.456463870622655e-97,2.245000143636076,0.8032938579487625,2.794743320170228,0.0025012506253126563,8,1999
purity,exploratory,gemma,finetuned,sign_c,300,1.1139743308699936,3.458622701905718e-37,1.1139743308699923,0.6714644804190163,1.6590219786083622,0.2336168084042021,6,1999
harm_vs_nonharm_pooled,primary,gemma,finetuned,sign_c:arm_c,3150,-1.2378054960596616,2.884215394350765e-42,-1.2378054960596596,0.46911795009630275,-2.6385805442012122,0.01200600300150075,34,1999
harm_control,primary,llama,pretrained,sign_c,1500,-0.35612985613404935,4.148307083821371e-92,-0.35612985613404935,0.12436682473096661,-2.863543850254586,0.0050025012506253125,30,1999
nonharm_pooled,primary,llama,pretrained,sign_c,1650,-0.15644643665951652,2.4462303456009317e-21,-0.15644643665951796,0.08858624200182416,-1.766035369874889,0.08754377188594298,26,1999
loyalty,exploratory,llama,pretrained,sign_c,500,-0.45395389986648965,4.0327880737209265e-156,-0.4539538998664887,0.1253564930353768,-3.6213034432797877,0.0050025012506253125,10,1999
authority,exploratory,llama,pretrained,sign_c,450,0.45041905674100063,0.0,0.4504190567410002,0.08102420564061719,5.559067851141098,0.0030015007503751876,9,1999
fairness,exploratory,llama,pretrained,sign_c,400,-0.37320556958128076,2.0548046312089583e-157,-0.3732055695812794,0.10383507747419848,-3.594214774617138,0.015507753876938469,8,1999
purity,exploratory,llama,pretrained,sign_c,300,-0.28188672751965166,2.1967892544782364e-15,-0.281886727519652,0.2727663737568945,-1.0334365033238522,0.3386693346673337,6,1999
harm_vs_nonharm_pooled,primary,llama,pretrained,sign_c:arm_c,3150,-0.19968341947453283,6.942238239378992e-13,-0.19968341947453205,0.14341696891171377,-1.3923277070334363,0.1645822911455728,34,1999
harm_control,primary,llama,finetuned,sign_c,1500,1.149890755628508,0.0,1.1498907556285114,0.20011724786653395,5.746085196991209,0.0,30,1999
