arm,status,family,tuning,term,n,lmm_estimate,lmm_p,untestable,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
harm_control,primary,gemma,pretrained,sign_c,1095,-0.26675571770867595,0.2814093657359019,False,-0.2667557188178333,0.2659522175567141,-1.003021224145077,0.32566283141570784,30,1999
nonharm_pooled,primary,gemma,pretrained,sign_c,1173,0.030490127652147543,0.8956140346949663,False,0.029103913473280257,0.25369039417503364,0.11472217372645185,0.9089544772386193,26,1999
loyalty,exploratory,gemma,pretrained,sign_c,331,-0.14652477094986785,0.7322885669153725,False,-0.1475817662983815,0.4952628741051488,-0.2979867339441408,0.7738869434717359,10,1999
authority,exploratory,gemma,pretrained,sign_c,336,0.8395697165007009,0.05272808640216677,False,0.8395687790347163,0.34254258081474287,2.450990989318142,0.04352176088044022,9,1999
fairness,exploratory,gemma,pretrained,sign_c,299,-0.3794937096525712,0.413211208058907,False,-0.37989976731698605,0.6069536087023685,-0.6259123627738036,0.5277638819409705,8,1999
purity,exploratory,gemma,pretrained,sign_c,207,-0.4240824532163071,0.44377733196098124,False,-0.42424808518587587,0.8334169154423868,-0.5090466455923568,0.639319659829915,6,1999
harm_vs_nonharm_pooled,primary,gemma,pretrained,sign_c:arm_c,2268,-0.29632994247422934,0.38200914023929744,False,-0.2958596322911129,0.37307001586391497,-0.7930405010062075,0.42321160580290146,34,1999
harm_control,primary,gemma,finetuned,sign_c,814,4.15315445995189,1.3894447743864438e-67,False,4.133219702583871,0.42732444553572,9.67232215653428,0.0,30,1999
nonharm_pooled,primary,gemma,finetuned,sign_c,891,4.42441389953074,3.7574053943410893e-67,False,4.435152435606045,0.5808616723494405,7.635470967927631,0.0,26,1999
loyalty,exploratory,gemma,finetuned,sign_c,250,2.5177322884766906,4.219823701983686e-07,False,2.552012882447667,0.9201727700929495,2.7734062182582084,0.0240120060030015,10,1999
authority,exploratory,gemma,finetuned,sign_c,274,7.553980462677098,1.1282957387261332e-110,False,7.63127413127413,0.7143974265565752,10.682113131422074,0.0010005002501250625,9,1999
fairness,exploratory,gemma,finetuned,sign_c,203,3.284305039602803,4.468949842479467e-09,False,3.283622877220374,1.5593737247637482,2.105731823663924,0.10655327663831916,8,1999
purity,exploratory,gemma,finetuned,sign_c,164,3.312845405549903,5.6388175506742564e-08,False,3.2630834512022657,1.2688951704030633,2.5715941925807395,0.04602301150575288,6,1999
harm_vs_nonharm_pooled,primary,gemma,finetuned,sign_c:arm_c,1705,-0.2475250880047503,0.48626795429818936,False,-0.3019327330221603,0.7565467115207384,-0.3990933123154336,0.7038519259629815,34,1999
harm_control,primary,llama,pretrained,sign_c,773,-0.3520661712226981,0.17984135652432398,False,-0.3520661710535126,0.22797084217083874,-1.5443473722384122,0.1470735367683842,30,1999
nonharm_pooled,primary,llama,pretrained,sign_c,861,0.010623406937534932,0.9659295475428137,False,0.00895507886299017,0.22923503099832473,0.03906505399279753,0.9664832416208105,26,1999
loyalty,exploratory,llama,pretrained,sign_c,259,-0.5388438103226506,0.21335326498134433,False,-0.5328562909958252,0.3501626226260409,-1.5217394906391637,0.16058029014507252,10,1999
authority,exploratory,llama,pretrained,sign_c,237,0.6909052895732349,0.15222646768818904,False,0.6909051909051902,0.6564072869877903,1.052555638246657,0.33516758379189593,9,1999
fairness,exploratory,llama,pretrained,sign_c,218,0.3035369916848543,0.5394477177526563,False,0.2425925925925923,0.3831596479991903,0.6331371110172462,0.5782891445722862,8,1999
purity,exploratory,llama,pretrained,sign_c,147,-0.5127730047202606,0.4071408752402623,False,-0.5127730470196221,0.6627841007062755,-0.7736652802521987,0.46773386693346675,6,1999
harm_vs_nonharm_pooled,primary,llama,pretrained,sign_c:arm_c,1634,-0.37187430076001576,0.30323886010652423,False,-0.361021249916503,0.29651247089909777,-1.2175584009056986,0.224112056028014,34,1999
harm_control,primary,llama,finetuned,sign_c,1078,0.6592875592689207,0.015259096513306643,False,0.6597824590389618,0.37447720372439214,1.7618761635609432,0.096048024012006,30,1999
nonharm_pooled,primary,llama,finetuned,sign_c,1232,0.2816625101844936,0.2578952536761656,False,0.2873376623376628,0.3396501432631447,0.845981278197334,0.38819409704852426,26,1999
loyalty,exploratory,llama,finetuned,sign_c,368,0.5448492873993387,0.2339854691192007,False,0.5414857480431245,0.5992847543219851,0.9035533511206157,0.40570285142571283,10,1999
authority,exploratory,llama,finetuned,sign_c,330,1.036161250464739,0.026707776507033727,False,1.0657560472736654,0.4339611767742727,2.455878784354998,0.04252126063031516,9,1999
fairness,exploratory,llama,finetuned,sign_c,326,-0.048241919201383834,0.9200641730308484,False,-0.04824181208306749,0.9970435307317199,-0.04838486043599654,0.9724862431215607,8,1999
purity,exploratory,llama,finetuned,sign_c,208,-0.7275080968137271,0.22951002833304057,False,-0.7275080906148853,0.7932374827094212,-0.9171378136721082,0.27763881940970486,6,1999
harm_vs_nonharm_pooled,primary,llama,finetuned,sign_c:arm_c,2310,0.3661543960726114,0.3203922595737826,False,0.3724447967013062,0.4536905065776674,0.8209226142084753,0.4382191095547774,34,1999
harm_control,primary,mistral,pretrained,sign_c,823,-0.16559516839833727,0.5268213179499474,False,-0.1657324298435453,0.31570425006616776,-0.5249610349205303,0.6043021510755378,30,1999
nonharm_pooled,primary,mistral,pretrained,sign_c,882,0.6617087906554243,0.006074754709728141,False,0.6571061291649549,0.2084620544466559,3.152161821052686,0.009004502251125562,26,1999
loyalty,exploratory,mistral,pretrained,sign_c,274,0.2599783576148634,0.5568226691659754,False,0.26656008526512154,0.43939095960788077,0.606658101256803,0.5667833916958479,10,1999
authority,exploratory,mistral,pretrained,sign_c,234,1.241351452526232,0.009359455441709779,False,1.2352210449397163,0.336945773066933,3.6659342353416147,0.01250625312656328,9,1999
fairness,exploratory,mistral,pretrained,sign_c,212,1.2641509433015001,0.005721358486784443,False,1.2641509433962266,0.3997694600431196,3.162199892057472,0.01200600300150075,8,1999
purity,exploratory,mistral,pretrained,sign_c,162,-0.3864748983157137,0.49381960575010464,False,-0.3864749082007347,0.3442014398285157,-1.1228160707092918,0.34217108554277137,6,1999
harm_vs_nonharm_pooled,primary,mistral,pretrained,sign_c:arm_c,1705,-0.8298121394988517,0.01934662402414397,False,-0.8228385590084994,0.3924506919310208,-2.0966673672042497,0.04502251125562781,34,1999
harm_control,primary,mistral,finetuned,sign_c,1489,1.7526780013732965,6.907835506491348e-56,False,1.7489905787348705,0.31995882249587376,5.466298960258944,0.0,30,1999
nonharm_pooled,primary,mistral,finetuned,sign_c,1632,1.004022398901714,1.799639951641947e-23,False,1.0011654241483066,0.34624416104552547,2.8915012490757053,0.010005002501250625,26,1999
loyalty,exploratory,mistral,finetuned,sign_c,495,0.9826823010906368,1.8471002872083372e-08,False,0.9750065299725731,0.877541917638879,1.1110654777562456,0.3381690845422711,10,1999
authority,exploratory,mistral,finetuned,sign_c,444,0.23174742573396623,0.1358197555627583,False,0.23766233766233827,0.5323726247722574,0.44642103407177885,0.7498749374687343,9,1999
fairness,exploratory,mistral,finetuned,sign_c,397,1.0730905248969234,1.1389893510698097e-06,False,1.07141769453327,0.3924997688447883,2.729728217895985,0.0080040020010005,8,1999
purity,exploratory,mistral,finetuned,sign_c,296,2.119558214707275,4.9643990320801147e-17,False,2.1081081081081106,0.8406074544795972,2.507838940606584,0.04702351175587794,6,1999
harm_vs_nonharm_pooled,primary,mistral,finetuned,sign_c:arm_c,3121,0.7497659894824233,9.025167901263179e-07,False,0.7478251545865564,0.4135279564625946,1.808402897312217,0.06953476738369184,34,1999
