question,score,family,moral_good,nonmoral_good,good_cell_gap,moral_bad,nonmoral_bad,bad_cell_gap,gap_ratio_good_to_bad
q_blame,ev,gemma,7.0531,4.2756,2.7775,7.6503,7.5009,0.1494,18.59
q_blame,ev,llama,6.5566,3.9769,2.5797,8.3687,7.5032,0.8655,2.98
q_blame,ev,mistral,6.8027,4.6424,2.1603,7.5983,7.4172,0.1811,11.93
q_blame,parsed,gemma,7.1029,2.0865,5.0164,8.917,7.7105,1.2065,4.16
q_blame,parsed,llama,6.9242,2.6578,4.2664,8.5299,7.3893,1.1406,3.74
q_blame,parsed,mistral,6.9971,4.0685,2.9286,8.4765,7.8103,0.6662,4.4
q_praise,ev,gemma,2.668,4.663,-1.995,0.4808,1.0376,-0.5568,3.58
q_praise,ev,llama,1.5397,3.6062,-2.0665,0.2997,0.771,-0.4713,4.38
q_praise,ev,mistral,4.6318,6.3355,-1.7037,0.8738,1.3917,-0.5179,3.29
q_praise,parsed,gemma,1.2746,3.1484,-1.8738,0.1697,0.3921,-0.2224,8.43
q_praise,parsed,llama,0.9647,3.1486,-2.1839,0.2016,0.6072,-0.4056,5.38
q_praise,parsed,mistral,4.3725,6.1763,-1.8038,0.9794,1.2552,-0.2758,6.54
