arm,family,tuning,term,n,lmm_estimate,lmm_p,untestable,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
moral,gemma,pretrained,sign_c,1325,-0.030807020203826398,0.005206681698670883,False,-0.0992202591102514,0.07556580741048316,-1.3130311513946278,0.22011005502751377,39,1999
nonmoral_pooled,gemma,pretrained,sign_c,3575,-0.15525954373137388,1.9933116034429293e-106,False,-0.1426275502889377,0.035392111775733176,-4.029924837283407,0.0005002501250625312,40,1999
nonmoral_prudential,gemma,pretrained,sign_c,1700,-0.25942679859030054,1.555804481915855e-223,False,-0.29284391786707564,0.06075528267750475,-4.8200568734330655,0.0,37,1999
nonmoral_procedural,gemma,pretrained,sign_c,1875,-0.002501465642420041,0.6578271788434221,False,-0.001298475646095143,0.04010569778574258,-0.03237633847020974,0.9794897448724362,40,1999
moral_vs_nonmoral_pooled,gemma,pretrained,sign_c:arm_c,4900,0.08595661787144666,7.135718659311764e-08,False,0.04340729117868572,0.08106705717911267,0.5354492032784659,0.6013006503251626,40,1999
moral,gemma,finetuned,sign_c,1325,-0.1490340367159207,1.0894693166042714e-20,False,0.013686714755732132,0.16389694996226364,0.0835080503870476,0.9419709854927464,39,1999
nonmoral_pooled,gemma,finetuned,sign_c,3575,0.1739738098749293,9.042627517527198e-15,False,0.1583726848928123,0.13246940575116709,1.1955415969050425,0.256128064032016,40,1999
nonmoral_prudential,gemma,finetuned,sign_c,1700,0.15132719646046414,1.0372143915051814e-07,False,0.1534508312895072,0.1997292626329773,0.7682941861728525,0.4832416208104052,37,1999
nonmoral_procedural,gemma,finetuned,sign_c,1875,0.15544596103406985,3.2869712920032495e-09,False,0.15215238245801083,0.18297216119155182,0.8315602847294564,0.45072536268134067,40,1999
moral_vs_nonmoral_pooled,gemma,finetuned,sign_c:arm_c,4900,-0.2054866528545831,1.2971044717902138e-05,False,-0.14468597013708073,0.23413802361736988,-0.6179516163232318,0.5692846423211606,40,1999
moral,llama,pretrained,sign_c,1325,-0.1194971585159546,1.5736151906332465e-09,False,-0.46761459369391123,0.20926175854713164,-2.2345917234973025,0.03951975987993997,39,1999
nonmoral_pooled,llama,pretrained,sign_c,3575,-0.5540666703259327,4.953554313096017e-258,False,-0.538402201027901,0.07032715129448504,-7.655680503443366,0.0,40,1999
nonmoral_prudential,llama,pretrained,sign_c,1700,-0.47751177052236754,3.2569600347732126e-218,False,-0.498653999675858,0.11403923720903315,-4.372652885794286,0.0,37,1999
nonmoral_procedural,llama,pretrained,sign_c,1875,-0.5879539619147796,0.0,False,-0.5521791720596707,0.08525519397816822,-6.4767804317127045,0.0,40,1999
moral_vs_nonmoral_pooled,llama,pretrained,sign_c:arm_c,4900,0.24552369892381623,2.1539584009532e-10,False,0.07078760733399037,0.2200463222823642,0.321694116946683,0.743871935967984,40,1999
moral,llama,finetuned,sign_c,1325,1.1709335674506818,0.0,False,0.9317807982332845,0.24342811419718016,3.8277452105574343,0.002001000500250125,39,1999
nonmoral_pooled,llama,finetuned,sign_c,3575,0.299652355343614,3.3290505221775314e-27,False,0.26856976635495045,0.13551263789840715,1.9818798491421536,0.05552776388194097,40,1999
nonmoral_prudential,llama,finetuned,sign_c,1700,-0.012469787514937632,0.7033021071986578,False,-0.1467301915854768,0.2343197514911478,-0.6261964288188484,0.535767883941971,37,1999
nonmoral_procedural,llama,finetuned,sign_c,1875,0.706522064182513,2.4966710962109882e-285,False,0.656254087234726,0.13704920931990672,4.788455843644211,0.0,40,1999
moral_vs_nonmoral_pooled,llama,finetuned,sign_c:arm_c,4900,0.9215748296943209,9.257760801612215e-56,False,0.6632110318783384,0.26007809043542907,2.5500457603636444,0.016508254127063533,40,1999
moral,mistral,pretrained,sign_c,1325,-0.11754005687021409,1.4748283249884444e-39,False,-0.10385531065622147,0.07263003358717898,-1.4299223823373604,0.1645822911455728,39,1999
nonmoral_pooled,mistral,pretrained,sign_c,3575,-0.22455553608567264,1.372054443903718e-169,False,-0.22043851223005206,0.037642537157064296,-5.856101338500847,0.0,40,1999
nonmoral_prudential,mistral,pretrained,sign_c,1700,-0.2268164602703269,7.328720552309512e-239,False,-0.22775317751657617,0.05174446639880922,-4.401498234829945,0.0,37,1999
nonmoral_procedural,mistral,pretrained,sign_c,1875,-0.2024934440060619,1.98921832774046e-186,False,-0.213870691115577,0.04925150405895223,-4.342419489556739,0.0005002501250625312,40,1999
moral_vs_nonmoral_pooled,mistral,pretrained,sign_c:arm_c,4900,0.14939097696249562,5.687536572878129e-13,False,0.11658320157383312,0.08214846482011764,1.4191768748097484,0.16808404202101052,40,1999
moral,mistral,finetuned,sign_c,1325,0.36083026658255496,3.917787929704534e-67,False,0.3972748206111123,0.21901206416337227,1.8139403513167418,0.09804902451225612,39,1999
nonmoral_pooled,mistral,finetuned,sign_c,3575,0.6066337976618488,6.45325257036624e-182,False,0.6131257071987485,0.11772730304342395,5.208016248980034,0.0,40,1999
nonmoral_prudential,mistral,finetuned,sign_c,1700,0.4425150835196242,1.483979837246509e-60,False,0.4376122741571037,0.1886990263269707,2.3191019194705613,0.007003501750875438,37,1999
nonmoral_procedural,mistral,finetuned,sign_c,1875,0.7759127133811853,8.937521960239848e-296,False,0.7786281792036964,0.14697874554688495,5.297556298405886,0.0,40,1999
moral_vs_nonmoral_pooled,mistral,finetuned,sign_c:arm_c,4900,-0.2051180547996408,2.3954729352946857e-06,False,-0.21585088658763538,0.20244009318218237,-1.0662457381571357,0.31315657828914456,40,1999
