arm,family,tuning,term,n,lmm_estimate,lmm_p,untestable,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
moral,gemma,pretrained,sign_c,1325,0.08875069389090705,2.4215042977279585e-81,False,0.014680138470854337,0.04435658273245712,0.33095738144211034,0.7253626813406704,39,1999
nonmoral_pooled,gemma,pretrained,sign_c,3575,0.2670017917927485,0.0,False,0.26828092783655594,0.02328968020429884,11.519304923175214,0.0,40,1999
nonmoral_prudential,gemma,pretrained,sign_c,1700,0.17110400515141289,0.0,False,0.16701507417738048,0.03367782065536591,4.959200771525276,0.0,37,1999
nonmoral_procedural,gemma,pretrained,sign_c,1875,0.3622464649598774,0.0,False,0.3535014578769529,0.031045045112048718,11.386727144414985,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,pretrained,sign_c:arm_c,4900,-0.2520535353703779,3.5356667626969305e-97,False,-0.2536007893657018,0.047708048518275877,-5.3156814676364945,0.0,40,1999
moral,gemma,finetuned,sign_c,1325,0.4847050764458243,1.127909270543176e-102,False,0.5972199435901796,0.17612075746069225,3.3909685161527365,0.0050025012506253125,39,1999
nonmoral_pooled,gemma,finetuned,sign_c,3575,3.2327805801597984,0.0,False,3.2252978948447217,0.11920705105098152,27.056267782896096,0.0,40,1999
nonmoral_prudential,gemma,finetuned,sign_c,1700,2.401465107000587,0.0,False,2.313487911839504,0.23036237764797635,10.042820079652131,0.0,37,1999
nonmoral_procedural,gemma,finetuned,sign_c,1875,4.0418557145772604,0.0,False,4.040719560972623,0.1439881278609755,28.062866161257745,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,finetuned,sign_c:arm_c,4900,-2.6653693022135,0.0,False,-2.6280779512545624,0.22340806321977769,-11.763576987233405,0.0,40,1999
moral,llama,pretrained,sign_c,1325,-0.0191855829952585,0.0011347282113084774,False,-0.03561985328797326,0.059404220791761046,-0.5996182226316399,0.551775887943972,39,1999
nonmoral_pooled,llama,pretrained,sign_c,3575,0.06624320548351169,5.064864335077424e-22,False,0.08006435702921097,0.02416365017420275,3.3134214595892524,0.0005002501250625312,40,1999
nonmoral_prudential,llama,pretrained,sign_c,1700,0.07481851714404149,3.23356806971176e-98,False,0.07447740414940726,0.02940566344666204,2.5327571433475513,0.013506753376688344,37,1999
nonmoral_procedural,llama,pretrained,sign_c,1875,0.06552387164107809,1.0565513114172163e-48,False,0.09669617023500979,0.03533084090412807,2.736877123796727,0.0080040020010005,40,1999
moral_vs_nonmoral_pooled,llama,pretrained,sign_c:arm_c,4900,-0.09133410649314294,3.5499505308852773e-10,False,-0.11568421031718536,0.06265158147485803,-1.8464691168826957,0.0945472736368184,40,1999
moral,llama,finetuned,sign_c,1325,1.9820023065720616,0.0,False,1.812080342293474,0.3752438209936585,4.829074433511051,0.0,39,1999
nonmoral_pooled,llama,finetuned,sign_c,3575,3.518626250536921,0.0,False,3.526350573222147,0.11664076206930932,30.232574879155436,0.0,40,1999
nonmoral_prudential,llama,finetuned,sign_c,1700,3.1642869154198072,0.0,False,3.0699846978455625,0.22121014633727257,13.878136914953474,0.0,37,1999
nonmoral_procedural,llama,finetuned,sign_c,1875,3.898451501372159,0.0,False,3.908306410725072,0.18125873252905197,21.562031005036694,0.0,40,1999
moral_vs_nonmoral_pooled,llama,finetuned,sign_c:arm_c,4900,-1.5992553796687532,1.013993308104624e-132,False,-1.7142702309286821,0.409636455226911,-4.1848575952037566,0.002001000500250125,40,1999
moral,mistral,pretrained,sign_c,1325,0.004278393310099204,0.40039120332448075,False,0.0260630632893199,0.04724371413304253,0.5516726143910696,0.5822911455727864,39,1999
nonmoral_pooled,mistral,pretrained,sign_c,3575,0.029849670543786455,2.079642156937632e-08,False,0.02764343222080326,0.02401791689937269,1.1509504482266428,0.26113056528264134,40,1999
nonmoral_prudential,mistral,pretrained,sign_c,1700,0.03413400247166887,4.953868559800356e-16,False,0.0391009239548365,0.03362452301133701,1.162869252945329,0.25662831415707854,37,1999
nonmoral_procedural,mistral,pretrained,sign_c,1875,0.035848612723752185,3.7025732692798604e-22,False,0.016609706507615646,0.027205974381713093,0.6105168767188177,0.5592796398199099,40,1999
moral_vs_nonmoral_pooled,mistral,pretrained,sign_c:arm_c,4900,-0.006936017559471294,0.5798919966506102,False,-0.00158036893148248,0.04834234093673887,-0.03269119576874777,0.9749874937468734,40,1999
moral,mistral,finetuned,sign_c,1325,0.7499750129181598,1.1770603065740032e-212,False,0.7956527247551981,0.22864181508181972,3.4799090641861503,0.0,39,1999
nonmoral_pooled,mistral,finetuned,sign_c,3575,2.776528334664003,0.0,False,2.7748530541089558,0.13792419353041052,20.118682466663373,0.0,40,1999
nonmoral_prudential,mistral,finetuned,sign_c,1700,2.3159724302188174,0.0,False,2.300598462447362,0.2379487961369871,9.668460188900925,0.0,37,1999
nonmoral_procedural,mistral,finetuned,sign_c,1875,3.26153623433061,0.0,False,3.184564428114532,0.19603455801560823,16.244913449703994,0.0,40,1999
moral_vs_nonmoral_pooled,mistral,finetuned,sign_c:arm_c,4900,-2.040002608043281,7.798072258344803e-282,False,-1.979200329353774,0.26844223068722456,-7.372909710543418,0.0,40,1999
