arm,family,tuning,term,n,lmm_estimate,lmm_p,untestable,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
moral,gemma,pretrained,sign_c,837,1.0759585640337903,0.00018585806075175528,False,1.075958559973918,0.20404698244020733,5.273092241338145,0.0005002501250625312,39,1999
nonmoral_pooled,gemma,pretrained,sign_c,2347,0.9787507976069235,1.6895431413253273e-12,False,0.9791705698247749,0.12755279694794047,7.676590347324289,0.0,40,1999
nonmoral_prudential,gemma,pretrained,sign_c,1089,0.7849566533692153,0.0001192725633534697,False,0.7967767401689596,0.1908563816803784,4.174745078754025,0.0005002501250625312,37,1999
nonmoral_procedural,gemma,pretrained,sign_c,1258,1.13596119005232,2.024371480878949e-09,False,1.136046064870988,0.18111043101572868,6.272670538630252,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,pretrained,sign_c:arm_c,3184,0.09678799094396692,0.748862147604217,False,0.0967879901491396,0.2438154650655954,0.3969723172527224,0.6758379189594798,40,1999
moral,gemma,finetuned,sign_c,714,1.9787478265652478,4.4550227420961257e-36,False,1.8140138408304507,0.4228206566592908,4.290267782002393,0.0010005002501250625,39,1999
nonmoral_pooled,gemma,finetuned,sign_c,1882,5.672406319007399,0.0,False,5.6239551087670785,0.23693526692897754,23.736251600116944,0.0,40,1999
nonmoral_prudential,gemma,finetuned,sign_c,709,5.189241326529947,1.4597115993885105e-190,False,4.886567665072566,0.4413829543287912,11.071038464780646,0.0,37,1999
nonmoral_procedural,gemma,finetuned,sign_c,1173,6.087837474113032,0.0,False,6.044792451476327,0.26485952794644213,22.822635448850676,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,finetuned,sign_c:arm_c,2596,-3.7944762606280573,1.1776278408667737e-78,False,-3.80994126793665,0.5081798569254607,-7.49722999842453,0.0,40,1999
moral,llama,pretrained,sign_c,332,-0.006129487127896293,0.989790267309774,False,-0.01718854097268263,0.40083642984257073,-0.04288168363198291,0.9654827413706853,39,1999
nonmoral_pooled,llama,pretrained,sign_c,1002,0.5551505877797233,0.01582741815021486,False,0.5675684296565056,0.22859997978184107,2.4828017491434204,0.01250625312656328,40,1999
nonmoral_prudential,llama,pretrained,sign_c,446,0.47417414003301933,0.18837173055725864,False,0.47658402203856665,0.3915612420400652,1.217137885137778,0.24562281140570286,37,1999
nonmoral_procedural,llama,pretrained,sign_c,556,0.6076807580459884,0.04085030843540384,False,0.6090034817950025,0.24080235496366006,2.529059493155324,0.017008504252126064,40,1999
moral_vs_nonmoral_pooled,llama,pretrained,sign_c:arm_c,1334,-0.58475694212062,0.2496344305782785,False,-0.5847569706291887,0.4795164042696171,-1.2194722963020848,0.24412206103051526,40,1999
moral,llama,finetuned,sign_c,996,1.6241413859560816,2.7842863531397836e-13,False,1.605714916927338,0.45781114927080996,3.507373989219966,0.0025012506253126563,39,1999
nonmoral_pooled,llama,finetuned,sign_c,2792,4.730573511936017,0.0,False,4.731520343669801,0.17513398732158306,27.01657408725428,0.0,40,1999
nonmoral_prudential,llama,finetuned,sign_c,1270,4.223952789369511,1.908699777239367e-108,False,4.180749846221004,0.35135201272082534,11.89903485637042,0.0,37,1999
nonmoral_procedural,llama,finetuned,sign_c,1522,5.135625943305239,2.5503683021042902e-245,False,5.156781369482105,0.20934358796006589,24.633099201805052,0.0,40,1999
moral_vs_nonmoral_pooled,llama,finetuned,sign_c:arm_c,3788,-3.0831603516133885,1.7504687362274277e-33,False,-3.1258054267423647,0.4997996624460663,-6.254116722377083,0.0,40,1999
moral,mistral,pretrained,sign_c,299,0.3788338036178055,0.5415704181197061,False,0.3788337980361255,0.4472364950272004,0.8470547512297386,0.4102051025512756,39,1999
nonmoral_pooled,mistral,pretrained,sign_c,950,0.5426753154207612,0.019044303267515425,False,0.5475827333025964,0.22758370252217175,2.4060718198802027,0.02301150575287644,40,1999
nonmoral_prudential,mistral,pretrained,sign_c,428,0.39749649866244524,0.25246649814757816,False,0.3974964985994418,0.3183467578670689,1.2486274440571599,0.2271135567783892,37,1999
nonmoral_procedural,mistral,pretrained,sign_c,522,0.6780827819393693,0.029157986416291463,False,0.677833235466822,0.3232444695624094,2.0969677729813454,0.04602301150575288,40,1999
moral_vs_nonmoral_pooled,mistral,pretrained,sign_c:arm_c,1249,-0.11323497449477475,0.8350544998775231,False,-0.1687489352664691,0.5160416631429,-0.32700641696005833,0.7488744372186094,40,1999
moral,mistral,finetuned,sign_c,1302,1.6850191821256124,7.510987369107511e-78,False,1.479387578937802,0.4545208723308182,3.254828697637994,0.0,39,1999
nonmoral_pooled,mistral,finetuned,sign_c,3512,3.716147043562377,0.0,False,3.741802769635065,0.15312437830180153,24.436362198709688,0.0,40,1999
nonmoral_prudential,mistral,finetuned,sign_c,1676,3.309291396936534,2.4492965806512066e-239,False,3.282854150189192,0.2607543101858569,12.589836570100355,0.0,37,1999
nonmoral_procedural,mistral,finetuned,sign_c,1836,4.1547485273937355,0.0,False,4.131709401709429,0.22409530822488577,18.43728650295144,0.0,40,1999
moral_vs_nonmoral_pooled,mistral,finetuned,sign_c:arm_c,4814,-2.2228850012612456,6.918995927366024e-59,False,-2.262415190697183,0.5090090148384169,-4.444744837015075,0.0025012506253126563,40,1999
