arm,family,tuning,term,n,lmm_estimate,lmm_p,untestable,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
moral,gemma,pretrained,sign_c,949,-0.16344226108964596,0.6020117638686966,False,-0.13103127543308657,0.40484134916927217,-0.32366080120511553,0.7518759379689844,39,1999
nonmoral_pooled,gemma,pretrained,sign_c,2662,-0.23972164868581705,0.11886105523076655,False,-0.2475015812776739,0.12098090802431245,-2.0457904087472687,0.04952476238119059,40,1999
nonmoral_prudential,gemma,pretrained,sign_c,1257,-0.3353962625890324,0.1379270300174914,False,-0.3783091505094889,0.23317216780444036,-1.6224455691760509,0.11405702851425713,37,1999
nonmoral_procedural,gemma,pretrained,sign_c,1405,-0.11790802858426903,0.5774222363120467,False,-0.11596502748188198,0.18122131880408582,-0.6399083079582325,0.5242621310655328,40,1999
moral_vs_nonmoral_pooled,gemma,pretrained,sign_c:arm_c,3611,0.14628196829151954,0.6657603195707831,False,0.11647030584457714,0.3906861076690593,0.29811734678632673,0.7678839419709855,40,1999
moral,gemma,finetuned,sign_c,813,2.2817392520028155,2.651142039656597e-15,False,2.1872401662935714,0.47902865529615596,4.565990243196049,0.0,39,1999
nonmoral_pooled,gemma,finetuned,sign_c,2035,2.7285832563191694,5.740918953403283e-65,False,2.706448296122225,0.2931741131436788,9.231539125679383,0.0,40,1999
nonmoral_prudential,gemma,finetuned,sign_c,865,0.8602542920323702,0.001227134336478775,False,0.921870419231892,0.3841366785994552,2.399850028882921,0.02001000500250125,37,1999
nonmoral_procedural,gemma,finetuned,sign_c,1170,4.0333126802220125,7.278097832939198e-106,False,4.027165994852133,0.38929639025139834,10.344729865723865,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,finetuned,sign_c:arm_c,2848,-0.5163482983005201,0.12698367320862292,False,-0.5192081298286337,0.5262264295424545,-0.9866629661305247,0.3486743371685843,40,1999
moral,llama,pretrained,sign_c,723,-0.06112763678503588,0.8371311182509763,False,-0.04932473252392339,0.3241215430040133,-0.15217974117602126,0.8804402201100551,39,1999
nonmoral_pooled,llama,pretrained,sign_c,1956,-0.8832631471707212,2.2323681109723253e-07,False,-0.8840674875363881,0.2142620758160541,-4.126103437434107,0.0,40,1999
nonmoral_prudential,llama,pretrained,sign_c,909,-0.7778607079818359,0.0015657868541517949,False,-0.774223611529086,0.3240712176799962,-2.3890539155920734,0.025512756378189096,37,1999
nonmoral_procedural,llama,pretrained,sign_c,1047,-0.9521723903289665,5.7707357229833566e-05,False,-0.9585168145470484,0.23215837028435404,-4.1287196036612,0.0,40,1999
moral_vs_nonmoral_pooled,llama,pretrained,sign_c:arm_c,2679,0.8353034295091613,0.01767223983382211,False,0.8347427550124534,0.3966146627348759,2.1046694271372717,0.04652326163081541,40,1999
moral,llama,finetuned,sign_c,881,0.16436675413419588,0.663849074131967,False,-0.12980845863663326,0.4730380802146153,-0.27441439509001,0.7898949474737369,39,1999
nonmoral_pooled,llama,finetuned,sign_c,2458,-0.0903904558377976,0.6099755065234262,False,-0.08973102154583104,0.21797462991503247,-0.4116580979208847,0.6908454227113556,40,1999
nonmoral_prudential,llama,finetuned,sign_c,1208,0.31617913539109505,0.21944274956272802,False,0.2456473315443853,0.4181331092570824,0.587485961063545,0.5547773886943472,37,1999
nonmoral_procedural,llama,finetuned,sign_c,1250,-0.4250230315344386,0.0837913308399054,False,-0.4239999999999995,0.30147794001690925,-1.4064047272454436,0.1695847923961981,40,1999
moral_vs_nonmoral_pooled,llama,finetuned,sign_c:arm_c,3339,0.12178195626199811,0.7546846740374491,False,-0.04007743709079926,0.46412041382817754,-0.08635137756650446,0.9344672336168084,40,1999
moral,mistral,pretrained,sign_c,702,0.40318131623954967,0.20718401140511,False,0.40487489911218966,0.2965984947011064,1.3650605324892076,0.1935967983991996,39,1999
nonmoral_pooled,mistral,pretrained,sign_c,1900,0.0675746849429154,0.6829671348126384,False,0.06598875065805807,0.16319103619653225,0.40436504477235685,0.6758379189594798,40,1999
nonmoral_prudential,mistral,pretrained,sign_c,935,-0.12166515657652408,0.6097691450469558,False,-0.12166515654887752,0.23333383594860868,-0.5214209763202712,0.5902951475737869,37,1999
nonmoral_procedural,mistral,pretrained,sign_c,965,0.2613660712176953,0.2546009292961948,False,0.24867220130975226,0.21947797698153096,1.1330166458144362,0.26113056528264134,40,1999
moral_vs_nonmoral_pooled,mistral,pretrained,sign_c:arm_c,2602,0.33888586284994865,0.3400384882147257,False,0.33888614845412307,0.35106355623407187,0.9653128114163194,0.35767883941970985,40,1999
moral,mistral,finetuned,sign_c,1302,1.3769892264177657,3.9575645483205904e-28,False,1.1006578627955472,0.4085653857811699,2.6939576897614774,0.009504752376188095,39,1999
nonmoral_pooled,mistral,finetuned,sign_c,3518,0.8126131109076562,2.633934997441852e-30,False,0.8100802854594115,0.15805414073057575,5.125334152683167,0.0,40,1999
nonmoral_prudential,mistral,finetuned,sign_c,1665,0.6567405710000699,1.847170148241528e-10,False,0.5849395815764269,0.28057299400352714,2.0848035772433375,0.04252126063031516,37,1999
nonmoral_procedural,mistral,finetuned,sign_c,1853,1.054389836094449,6.252108196039964e-29,False,1.0020786581003487,0.20218933954723423,4.956139924806714,0.0,40,1999
moral_vs_nonmoral_pooled,mistral,finetuned,sign_c:arm_c,4820,0.4176385897530135,0.004769234157170573,False,0.2905775773361364,0.3902265755187573,0.7446381040293064,0.48774387193596797,40,1999
