arm,family,tuning,term,n,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
moral,gemma,pretrained,sign_c,1325,-0.7013436649535941,0.0,-0.781858065323024,0.08513021190670778,-9.184260767256683,0.0,39,1999
nonmoral_pooled,gemma,pretrained,sign_c,3575,-0.7932469521426814,0.0,-0.7781318055021746,0.04467679200710524,-17.416913134193326,0.0,40,1999
nonmoral_prudential,gemma,pretrained,sign_c,1700,-0.7948161787591718,0.0,-0.7758650150971391,0.0699851783308475,-11.086133287098587,0.0,37,1999
nonmoral_procedural,gemma,pretrained,sign_c,1875,-0.7934669984245052,0.0,-0.7940176215415617,0.04947223955197451,-16.049761012079983,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,pretrained,sign_c:arm_c,4900,-0.01382025014393763,0.5070969798910341,-0.003726259820849287,0.09344128789492745,-0.03987808713680594,0.966983491745873,40,1999
moral,gemma,finetuned,sign_c,1325,-2.3341143488353495,0.0,-2.187168482222151,0.49144107408665055,-4.450520311691552,0.0005002501250625312,39,1999
nonmoral_pooled,gemma,finetuned,sign_c,3575,-3.6347920979239086,0.0,-3.62541026971214,0.2205931794044656,-16.4348248640309,0.0,40,1999
nonmoral_prudential,gemma,finetuned,sign_c,1700,-3.805742521629936,0.0,-3.7002820809836323,0.31230794809437984,-11.848184151449782,0.0,37,1999
nonmoral_procedural,gemma,finetuned,sign_c,1875,-3.5692473946019927,0.0,-3.580485968258583,0.2592094551677602,-13.813099394623913,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,finetuned,sign_c:arm_c,4900,1.3830046117263093,1.4398379653320327e-71,1.4382417874900035,0.6040542481803476,2.380981164891335,0.03401700850425213,40,1999
moral,llama,pretrained,sign_c,1325,-0.19112981682622796,1.8605458395248074e-198,-0.1575928830972211,0.07483096393148851,-2.1059849401579975,0.061030515257628815,39,1999
nonmoral_pooled,llama,pretrained,sign_c,3575,-0.358295562234172,5.7930609723251345e-214,-0.34664020260925266,0.03414172639407629,-10.15297816543325,0.0,40,1999
nonmoral_prudential,llama,pretrained,sign_c,1700,-0.21452913870056348,1.277967121568253e-278,-0.21195383734014955,0.04474704852601121,-4.7367110082565995,0.0,37,1999
nonmoral_procedural,llama,pretrained,sign_c,1875,-0.4831213852418406,0.0,-0.4480833987200502,0.05493551322870925,-8.156534314234499,0.0,40,1999
moral_vs_nonmoral_pooled,llama,pretrained,sign_c:arm_c,4900,0.18912565148881558,3.490772699439984e-16,0.18904731951203352,0.08144041778542434,2.3212960425881795,0.04252126063031516,40,1999
moral,llama,finetuned,sign_c,1325,-1.2751363924893282,0.0,-1.2400518150994322,0.2635586839222279,-4.705031140105982,0.0,39,1999
nonmoral_pooled,llama,finetuned,sign_c,3575,-2.8596384864091067,0.0,-2.8352471514199338,0.21065080473706085,-13.45946508468816,0.0,40,1999
nonmoral_prudential,llama,finetuned,sign_c,1700,-2.6889322772216073,0.0,-2.620745598428944,0.26736850447037785,-9.80199819578712,0.0,37,1999
nonmoral_procedural,llama,finetuned,sign_c,1875,-3.047808715719999,0.0,-3.0142757114777448,0.27606433748411163,-10.91874357603769,0.0,40,1999
moral_vs_nonmoral_pooled,llama,finetuned,sign_c:arm_c,4900,1.5097185493230025,4.192177613733072e-87,1.5951953363205136,0.31581217156818364,5.051088843091382,0.0,40,1999
moral,mistral,pretrained,sign_c,1325,-0.24523688641359354,3.0519583801977363e-294,-0.15481223822532783,0.059738577607249696,-2.591495218435537,0.021010505252626314,39,1999
nonmoral_pooled,mistral,pretrained,sign_c,3575,-0.20049284154525773,0.0,-0.19684551096799205,0.024241755980739587,-8.120101164469625,0.0,40,1999
nonmoral_prudential,mistral,pretrained,sign_c,1700,-0.22520137221225187,0.0,-0.22065862792623442,0.038307373643447974,-5.760212902613737,0.0,37,1999
nonmoral_procedural,mistral,pretrained,sign_c,1875,-0.1648280987296471,0.0,-0.17444564767050677,0.02521737402422792,-6.9176769755211565,0.0,40,1999
moral_vs_nonmoral_pooled,mistral,pretrained,sign_c:arm_c,4900,0.029418427030008514,0.018277687182228563,0.042033272742664024,0.06278508251810805,0.6694786572995436,0.535767883941971,40,1999
moral,mistral,finetuned,sign_c,1325,-3.827091364791311,0.0,-3.7579744063902467,0.586305445033404,-6.409584693821394,0.0,39,1999
nonmoral_pooled,mistral,finetuned,sign_c,3575,-4.957042057187933,0.0,-4.94381274092639,0.0928426232603268,-53.249386621316674,0.0,40,1999
nonmoral_prudential,mistral,finetuned,sign_c,1700,-5.127353772778484,0.0,-5.065243421798831,0.19264524845966474,-26.293113701474816,0.0,37,1999
nonmoral_procedural,mistral,finetuned,sign_c,1875,-4.841431764400907,0.0,-4.826771897258558,0.1154347092279882,-41.813869758405936,0.0,40,1999
moral_vs_nonmoral_pooled,mistral,finetuned,sign_c:arm_c,4900,1.1788362495735023,1.5953300566879646e-99,1.185838334536154,0.6196956433014695,1.9135818483707936,0.08754377188594298,40,1999
