arm,family,tuning,term,n,lmm_estimate,lmm_p,untestable,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
moral,gemma,pretrained,sign_c,816,-1.6229613173727822,1.4971194732296781e-09,False,-1.6114965080699803,0.25422046570114704,-6.338972370400741,0.0,39,1999
nonmoral_pooled,gemma,pretrained,sign_c,2270,-1.5434967364496663,1.9766907259794877e-27,False,-1.5269038883388577,0.14804862741164387,-10.313529514146433,0.0,40,1999
nonmoral_prudential,gemma,pretrained,sign_c,1035,-0.9040189405857034,1.5285016839434876e-05,False,-0.8969332545069447,0.2561278677147251,-3.501896386792037,0.0015007503751875938,37,1999
nonmoral_procedural,gemma,pretrained,sign_c,1235,-2.065213308818916,7.107880802655214e-27,False,-2.0585978273982772,0.21386716613987874,-9.625590802712846,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,pretrained,sign_c:arm_c,3086,-0.12096759054497168,0.690482171642472,False,-0.08459261973110906,0.28961661166013947,-0.2920848332773714,0.768384192096048,40,1999
moral,gemma,finetuned,sign_c,802,-1.2762249874837963,2.5812087395590364e-55,False,-1.1049509176269714,0.3442541745028076,-3.209695043561367,0.0050025012506253125,39,1999
nonmoral_pooled,gemma,finetuned,sign_c,1859,-2.766018668431986,1.0250589077117795e-253,False,-2.7563206761100028,0.2441716386031032,-11.288455497447657,0.0,40,1999
nonmoral_prudential,gemma,finetuned,sign_c,724,-2.833179732958339,2.5117338534463726e-84,False,-2.842376373626369,0.453701581573494,-6.264858861123321,0.0,37,1999
nonmoral_procedural,gemma,finetuned,sign_c,1135,-2.7839612013959982,1.0751346614445514e-210,False,-2.6937388606085486,0.23600324316133475,-11.413990860994547,0.0,40,1999
moral_vs_nonmoral_pooled,gemma,finetuned,sign_c:arm_c,2661,1.7039845101150164,3.7002832042243567e-25,False,1.6513697584829683,0.5028576368218917,3.283970725630783,0.010005002501250625,40,1999
moral,llama,pretrained,sign_c,376,-0.22440343025941745,0.58938895024984,False,-0.22440342828692345,0.3563498926443269,-0.6297277841778408,0.5502751375687844,39,1999
nonmoral_pooled,llama,pretrained,sign_c,1090,-1.1251679963302328,1.227324757031303e-06,False,-1.1251679966046984,0.23214064819383917,-4.846923644605208,0.0,40,1999
nonmoral_prudential,llama,pretrained,sign_c,494,-0.8525627609987795,0.010168547604758561,False,-0.8541262658909714,0.28256956143201933,-3.0227115106184477,0.008504252126063032,37,1999
nonmoral_procedural,llama,pretrained,sign_c,596,-1.2754895989558153,8.410192433116245e-05,False,-1.2727970386421097,0.30553873764469025,-4.165746865532449,0.0,40,1999
moral_vs_nonmoral_pooled,llama,pretrained,sign_c:arm_c,1466,0.9007645707881319,0.06603632241942219,False,0.9007645683177865,0.3808542424804296,2.365116277690074,0.02051025512756378,40,1999
moral,llama,finetuned,sign_c,1042,-0.6807705814337667,1.6768929002197385e-09,False,-0.7630832832860808,0.22422042909195566,-3.403272781059261,0.0,39,1999
nonmoral_pooled,llama,finetuned,sign_c,2851,-2.589223034053556,6.89266143513076e-116,False,-2.541445988521643,0.21338012687481137,-11.910415584356137,0.0,40,1999
nonmoral_prudential,llama,finetuned,sign_c,1349,-2.220666950033888,7.199187837830155e-52,False,-2.154175188581725,0.2585331552688704,-8.332297597735257,0.0,37,1999
nonmoral_procedural,llama,finetuned,sign_c,1502,-2.8754810982153405,8.342568479696952e-69,False,-2.8580515092143033,0.30424508612529055,-9.393911815020521,0.0,40,1999
moral_vs_nonmoral_pooled,llama,finetuned,sign_c:arm_c,3893,1.8705485216445998,1.435910001870769e-17,False,1.7783627052354847,0.30551686564273733,5.820833169043607,0.0,40,1999
moral,mistral,pretrained,sign_c,379,-0.8932972458763639,0.032138591005919814,False,-0.8932972433934036,0.35747095278677476,-2.498936588915631,0.0240120060030015,39,1999
nonmoral_pooled,mistral,pretrained,sign_c,1028,-0.7079802282478039,0.0013211290932776194,False,-0.7112789927104041,0.2228574647465187,-3.1916318958372027,0.002001000500250125,40,1999
nonmoral_prudential,mistral,pretrained,sign_c,484,-0.7914133479044556,0.016770060650244775,False,-0.8022471526390373,0.338415620580084,-2.3705972888127675,0.02351175587793897,37,1999
nonmoral_procedural,mistral,pretrained,sign_c,544,-0.6431718177551863,0.029282455451693914,False,-0.6382166639597221,0.30046412506713926,-2.1241027154809626,0.04102051025512756,40,1999
moral_vs_nonmoral_pooled,mistral,pretrained,sign_c:arm_c,1407,-0.18085945334186498,0.6987137528218705,False,-0.1820182506829981,0.4370738002754159,-0.4164474067498483,0.6558279139569785,40,1999
moral,mistral,finetuned,sign_c,1321,-3.336474549421292,8.32436770020749e-106,False,-3.393068968363453,0.6526630239819293,-5.198806801804355,0.0,39,1999
nonmoral_pooled,mistral,finetuned,sign_c,3524,-4.935522034611672,0.0,False,-4.921147553816541,0.1765841379336507,-27.86857082070192,0.0,40,1999
nonmoral_prudential,mistral,finetuned,sign_c,1675,-5.046692139161744,0.0,False,-4.992704761959166,0.3314243928905696,-15.064385329077657,0.0,37,1999
nonmoral_procedural,mistral,finetuned,sign_c,1849,-4.899750973612874,0.0,False,-4.857094883951704,0.2130202833886921,-22.801091082435093,0.0,40,1999
moral_vs_nonmoral_pooled,mistral,finetuned,sign_c:arm_c,4845,1.5277957284872645,1.5635453338708432e-23,False,1.5280785854531411,0.7267343867822504,2.1026644854648873,0.06253126563281641,40,1999
