pilot,family,arm,n,slope_pretrained,slope_finetuned,lmm_interaction,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
nonmoral_pilot,gemma,moral,2650,-0.1447,-0.0318,0.1129,1.855768900608992e-05,0.11290697386598594,0.15119194129056526,0.7467790472310816,0.46773386693346675,39,1999
nonmoral_pilot,gemma,nonmoral_pooled,7150,-0.1411,0.1599,0.301,1.33018857381033e-32,0.3010002351817511,0.12245136689925014,2.4581206629519,0.013506753376688344,40,1999
nonmoral_pilot,llama,moral,2650,-0.1763,1.223,1.3994,2.2730714148822006e-229,1.3993953919271873,0.25579453352880394,5.4707791156514585,0.0,39,1999
nonmoral_pilot,llama,nonmoral_pooled,7150,-0.5307,0.2763,0.807,2.9589977680432315e-124,0.8069719673828495,0.14025558227525814,5.753581813229575,0.0,40,1999
nonmoral_pilot,mistral,moral,2650,-0.1287,0.3724,0.5011,2.558741222564375e-65,0.5011301312673329,0.23073360963248954,2.171899152730842,0.04602301150575288,39,1999
nonmoral_pilot,mistral,nonmoral_pooled,7150,-0.2254,0.6081,0.8336,2.90091687177165e-247,0.833564219428797,0.11787860913608453,7.071378136693926,0.0,40,1999
moral_foundations_pilot,gemma,harm_control,3000,-0.0443,1.0994,1.1437,1.2995728784482969e-93,1.143746250928337,0.3095452376680441,3.6949243979482214,0.0,30,1999
moral_foundations_pilot,gemma,nonharm_pooled,3300,0.0945,2.3372,2.2427,1.847194353792375e-206,2.2427286038088288,0.28438792401236496,7.8861597643341454,0.0,26,1999
moral_foundations_pilot,llama,harm_control,3000,-0.3561,1.1499,1.506,7.74452553282689e-306,1.5060206117625852,0.18992425299746277,7.929585547890529,0.0,30,1999
moral_foundations_pilot,llama,nonharm_pooled,3300,-0.1564,1.0445,1.2009,3.0225750790748732e-164,1.2009370580544367,0.22234447507517213,5.40124533181413,0.0,26,1999
moral_foundations_pilot,mistral,harm_control,3000,-0.364,1.0481,1.4121,2.06402762480263e-291,1.4120677334964138,0.20355221857593836,6.937127698117521,0.0,30,1999
moral_foundations_pilot,mistral,nonharm_pooled,3300,-0.0459,0.9251,0.9711,3.544840564501596e-139,0.9710692720010397,0.19573530966898217,4.961134879768315,0.0,26,1999
