variant_id,pair_id,category,sign,scenario,q_intentionality,q_blame,q_praise
moral-01-bad,1,moral,bad,Bill released a gadget to make a deadline. Bill did not care at all about the effect the gadget would have on babies. Bill knew his gadget would kill babies.,Did Bill intentionally cause the death of babies?,"How blameworthy is Bill for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Bill for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-01-good,1,moral,good,Robyn released an invention to make a deadline. Robyn did not care at all about the effect the invention would have on toddlers. Robyn knew her invention would help toddlers.,Did Robyn intentionally help toddlers?,"How blameworthy is Robyn for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Robyn for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-01-bad,1,nonmoral_prudential,bad,Marcus released the app update to meet a deadline. Marcus did not care at all about the effect the rushed release would have on his own job security. Marcus knew skipping the testing phase would get him fired if the bug was found.,Did Marcus intentionally endanger his own job?,"How blameworthy is Marcus for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Marcus for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-01-good,1,nonmoral_prudential,good,Priya released the app update ahead of schedule. Priya did not care at all about the effect the early release would have on her own job security. Priya knew the early release would earn her a promotion.,Did Priya intentionally secure her own promotion?,"How blameworthy is Priya for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Priya for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-01-bad,1,nonmoral_procedural,bad,Trevor formatted his quarterly report in an unconventional font to save time. Trevor did not care at all about the effect this would have on the office's style guide. Trevor knew the font choice would clash with the office's usual look.,Did Trevor intentionally clash with the office's usual look?,"How blameworthy is Trevor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Trevor for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-01-good,1,nonmoral_procedural,good,Naomi formatted her quarterly report using the office's standard template. Naomi did not care at all about the effect this would have on the office's style guide. Naomi knew the standard template would match the office's usual look.,Did Naomi intentionally match the office's usual look?,"How blameworthy is Naomi for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Naomi for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-02-bad,2,moral,bad,The CEO started a plan to increase profits. She did not care at all about the effect the plan would have on the environment. She knew her plan would harm the environment.,Did the CEO intentionally harm the environment?,"How blameworthy is the CEO for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the CEO for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-02-good,2,moral,good,The chairman started a plan to increase revenue. He did not care at all about the effect the plan would have on the environment. He knew his plan would help the environment.,Did the chairman intentionally help the environment?,"How blameworthy is the chairman for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the chairman for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-02-bad,2,nonmoral_prudential,bad,The analyst pushed through a cost-cutting plan to increase her bonus. The analyst did not care at all about the effect the plan would have on her own retirement account. She knew redirecting the funds would drain her own retirement contributions.,Did the analyst intentionally drain her own retirement account?,"How blameworthy is the analyst for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the analyst for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-02-good,2,nonmoral_prudential,good,The analyst pushed through a cost-cutting plan to increase her bonus. The analyst did not care at all about the effect the plan would have on her own retirement account. She knew the bonus structure would boost her own retirement contributions.,Did the analyst intentionally boost her own retirement account?,"How blameworthy is the analyst for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the analyst for this, on a scale from 0 (not at all) to 10 (extremely)?"
