contrast,family,ri_estimate,ri_se,ri_p,slope_estimate,slope_se,slope_p,slope_converged,note
rq1_base_sign_x_tuning,gemma,0.4519062676191749,0.014864678662591115,5.272154452019633e-203,0.45190626761776903,0.1803829755250558,0.012236138137217729,True,
rq1_base_sign_x_tuning,llama,0.450284445882844,0.023169906598110586,3.9793534504566363e-84,0.45028444588325717,0.20136975305924962,0.025344720276472846,True,
rq1_base_sign_x_tuning,mistral,-0.01136972232207579,0.008944568475187696,0.20368188742832172,-0.01136972231909907,0.11184094546345731,0.9190267530931266,True,
rq1c_typicality_x_sign,gemma,-0.4154456492384064,0.014008752322315977,2.825640443839372e-193,-0.4154456492382515,0.1062125497615781,9.174160698158992e-05,True,
rq1c_evocativeness_x_sign,gemma,-0.17319128317878962,0.014712685711340615,5.47025580024695e-32,-0.17319128317860055,0.07928661294495118,0.02893508521752219,True,
rq1c_typicality_x_sign,llama,-0.1766366189913658,0.02496456481583717,1.489177166120698e-12,-0.17663661899472308,0.20718390285743724,0.3939035915010325,True,
rq1c_evocativeness_x_sign,llama,0.10209708377494857,0.035880648682748206,0.004434681207839217,0.10209708377493938,0.11173482864914898,0.36085112171792477,True,
rq1c_typicality_x_sign,mistral,-0.19549761016309722,0.006027030556726041,8.314403766465719e-231,-0.19549761016405626,0.0340396871550633,9.288971616582492e-09,True,
rq1c_evocativeness_x_sign,mistral,0.06026394218895103,0.007641008153740988,3.097610981558986e-15,0.06026394218905253,0.04197010460691296,0.15103711168183873,True,
rq1b_moral,gemma,0.22229709378725512,0.050355531217171026,1.012195448945511e-05,-0.9548831863379719,0.9189055592753135,0.2987337279648885,True,"RQ1b's pred_c is family-correlated (see 06_rq1b_hausman_diagnostic.py) -- a random slope on it is vulnerable to the same endogeneity a fixed effect avoids; treat these rows as a disagreement to resolve, not a clean result."
rq1b_nonmoral,gemma,0.4433356998837778,0.05159194186609159,8.463974251847527e-18,0.1628101109109387,0.3719944007768399,0.6616268420188807,True,"RQ1b's pred_c is family-correlated (see 06_rq1b_hausman_diagnostic.py) -- a random slope on it is vulnerable to the same endogeneity a fixed effect avoids; treat these rows as a disagreement to resolve, not a clean result."
rq1b_moral,llama,2.6832156637182987,0.1650593024457296,2.0230353437817262e-59,0.9400082192173884,1.0065454712870645,0.35035783464801673,True,"RQ1b's pred_c is family-correlated (see 06_rq1b_hausman_diagnostic.py) -- a random slope on it is vulnerable to the same endogeneity a fixed effect avoids; treat these rows as a disagreement to resolve, not a clean result."
rq1b_nonmoral,llama,1.9467061349864352,0.08432552481845788,6.459100293822134e-118,3.8824985561495433,0.8446403277783716,4.293803669351953e-06,True,"RQ1b's pred_c is family-correlated (see 06_rq1b_hausman_diagnostic.py) -- a random slope on it is vulnerable to the same endogeneity a fixed effect avoids; treat these rows as a disagreement to resolve, not a clean result."
rq1b_moral,mistral,1.3013446022437043,0.0524490720370473,6.722639559975195e-136,1.1909940365222662,0.33758752914719575,0.0004187813515813189,True,"RQ1b's pred_c is family-correlated (see 06_rq1b_hausman_diagnostic.py) -- a random slope on it is vulnerable to the same endogeneity a fixed effect avoids; treat these rows as a disagreement to resolve, not a clean result."
rq1b_nonmoral,mistral,-0.16449914006501656,0.023971079261931167,6.771302514561304e-12,-0.9177161155593572,0.2986263827330803,0.002118299431306778,True,"RQ1b's pred_c is family-correlated (see 06_rq1b_hausman_diagnostic.py) -- a random slope on it is vulnerable to the same endogeneity a fixed effect avoids; treat these rows as a disagreement to resolve, not a clean result."
