model,family,valence_type,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B,severity_coef,severity_p
baseline,gemma,moral,0.34567005794498684,0.021780011358764232,0.3456700579448676,0.15488448237792202,2.2317927053623356,0.03301650825412707,41,1999,,
+severity_c,gemma,moral,0.5583890224979027,0.2061376106967403,0.5583890224974346,0.5641967583664281,0.9897061871007391,0.5432716358179089,41,1999,-0.0409825528035633,0.6085530267958145
baseline,gemma,nonmoral,0.27627722831004686,0.39757133918776766,0.276277228310414,0.33059457486836646,0.8356980099277791,0.43571785892946474,42,1999,,
+severity_c,gemma,nonmoral,-0.4600989524161961,0.1694886099094547,-0.4600989524168014,0.3361655783527204,-1.3686676508385531,0.22161080540270134,42,1999,0.9664937372049919,7.472568128780086e-05
baseline,llama,moral,0.6796944382043156,0.0024520998454018337,0.6796944382044899,0.23191188859582096,2.930830507741111,0.0010005002501250625,41,1999,,
+severity_c,llama,moral,2.2170406090977868,0.00026843980133987644,2.217040609097122,1.289996243072232,1.7186411363625818,0.1340670335167584,41,1999,-0.2961859595298151,0.007210788611651772
baseline,llama,nonmoral,0.028212092276570545,0.9238919611688832,0.028212092276739875,0.29889216274826846,0.09438886592854738,0.9179589794897449,42,1999,,
+severity_c,llama,nonmoral,-0.22823476790879174,0.5117763591134895,-0.22823476790889408,0.36341618036646256,-0.6280258839294005,0.568784392196098,42,1999,0.3365865039935878,0.18422190935114524
baseline,mistral,moral,0.053806204960860186,0.4405617845777844,0.05380620496102049,0.0714361949471043,0.7532064802844254,0.45672836418209106,41,1999,,
+severity_c,mistral,moral,-0.07106346660420301,0.7275382517427171,-0.07106346660326712,0.20059444029010132,-0.3542643878887897,0.7223611805902952,41,1999,0.024057459659306245,0.5150521664922783
baseline,mistral,nonmoral,-0.20073390775275382,0.052389206724465474,-0.20073390775304503,0.10473919595119693,-1.9165118266382022,0.05952976488244122,42,1999,,
+severity_c,mistral,nonmoral,-0.45039054905432185,1.2861047084189176e-05,-0.45039054905422954,0.13043041679876102,-3.453109789176936,0.0,42,1999,0.3276743417077198,1.3256279695725834e-05
