model,family,term,lmm_estimate,aic,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
A_label_alone,gemma,sign_c:vt_c,0.06511691184449919,16776.40721044394,0.06509954156876574,0.14362718323791207,0.4532536258190849,0.6688344172086043,21,1999
B_severity_alone,gemma,sign_c:severity_c,-0.08558654863812548,17422.97216700275,-0.08506993698417355,0.21626990543327732,-0.39335078458439965,0.7018509254627313,21,1999
C_combined,gemma,sign_c:vt_c,0.2537306514496916,16760.156483057857,0.25903001144072196,0.6939072439080879,0.37329198349604203,0.7123561780890445,21,1999
C_combined,gemma,sign_c:severity_c,0.008955954519313454,16760.156483057857,0.008815676471867885,0.2685518297941808,0.03282672279173914,0.9709854927463731,21,1999
A_label_alone,llama,sign_c:vt_c,0.6494530121774663,24664.38355244002,0.6494244731005424,0.2596225715359975,2.5014176127228507,0.0065032516258129065,21,1999
B_severity_alone,llama,sign_c:severity_c,0.3995925813935,24768.79093399181,0.40075345323212674,0.34929749103759594,1.1473127162799817,0.5757878939469735,21,1999
C_combined,llama,sign_c:vt_c,-0.45839251712254553,24102.06319650916,-0.462480304608794,0.7295112301199143,-0.6339591297762109,0.5427713856928464,21,1999
C_combined,llama,sign_c:severity_c,0.7176866143079618,24102.06319650916,0.7209176957419092,0.3987300554307685,1.8080344983351329,0.2001000500250125,21,1999
A_label_alone,mistral,sign_c:vt_c,0.2496554193866343,3231.8471149628604,0.24960720601050518,0.0695887888377002,3.5868882068440135,0.0,21,1999
B_severity_alone,mistral,sign_c:severity_c,-0.10529690098070829,5212.410799803358,-0.10544239796200126,0.0769293163569469,-1.3706399972769232,0.22011005502751377,21,1999
C_combined,mistral,sign_c:vt_c,-0.26796939414592413,2965.3213401466346,-0.2676748063197092,0.32448805751976306,-0.8249141998189143,0.4517258629314657,21,1999
C_combined,mistral,sign_c:severity_c,0.06989826040730339,2965.3213401466346,0.07038897166033226,0.10553238405317415,0.666989306570253,0.5247623811905953,21,1999
