set_id,MB,NMB,diff
ACAD-01,5.666666666666667,1.25,4.416666666666667
ACAD-02,6.25,1.5,4.75
ANIM-01,8.0,1.5,6.5
ANIM-02,6.75,1.0,5.75
COMM-01,6.75,0.3333333333333333,6.416666666666667
COMM-02,5.75,1.75,4.0
ENV-01,8.0,1.0,7.0
ENV-02,6.25,2.0,4.25
ENV-03,7.333333333333333,1.0,6.333333333333333
FIN-01,6.5,1.0,5.5
FIN-02,6.75,3.0,3.75
FOOD-01,8.5,2.0,6.5
FOOD-02,7.25,2.0,5.25
HC-01,6.75,0.75,6.0
HC-02,7.0,1.0,6.0
PRIV-01,7.5,2.75,4.75
PRIV-02,7.25,2.0,5.25
PS-01,8.5,1.5,7.0
PS-02,9.0,2.0,7.0
WORK-01,6.0,2.0,4.0
WORK-02,5.75,2.25,3.5
