set_id,MG,NMG,diff
ACAD-01,2.25,0.3333333333333333,1.9166666666666667
ACAD-02,2.25,1.0,1.25
ANIM-01,2.0,0.6666666666666666,1.3333333333333335
ANIM-02,2.0,0.6666666666666666,1.3333333333333335
COMM-01,2.0,0.3333333333333333,1.6666666666666667
COMM-02,3.25,0.6666666666666666,2.5833333333333335
ENV-01,2.25,0.5,1.75
ENV-02,4.5,1.25,3.25
ENV-03,1.3333333333333333,0.0,1.3333333333333333
FIN-01,1.5,1.0,0.5
FIN-02,2.0,1.25,0.75
FOOD-01,1.3333333333333333,1.5,-0.16666666666666674
FOOD-02,0.25,0.75,-0.5
HC-01,0.5,0.0,0.5
HC-02,1.5,0.6666666666666666,0.8333333333333334
PRIV-01,1.75,1.75,0.0
PRIV-02,1.5,1.0,0.5
PS-01,1.0,0.75,0.25
PS-02,0.75,0.75,0.0
WORK-01,2.75,1.75,1.0
