family,typicality,sign,mean,std,count
gemma,common,bad,7.363930070829014,0.9000051678260929,2100
gemma,common,good,6.834020677917454,1.1958496395440394,2100
gemma,uncommon,bad,7.238945672352347,0.6565467189038715,2100
gemma,uncommon,good,7.124481928679194,0.8949888518463782,2100
llama,common,bad,6.618222807183599,1.4362611377859393,2100
llama,common,good,6.18699492633486,1.4001057395808818,2100
llama,uncommon,bad,7.712389146591906,0.5320126363576256,2100
llama,uncommon,good,7.457797884734533,0.7355359025178777,2100
mistral,common,bad,6.723321245483576,0.5938501379473867,2100
mistral,common,good,6.6949607352039795,0.4758598533074486,2100
mistral,uncommon,bad,6.841894818794861,0.466757434579988,2100
mistral,uncommon,good,7.009031918678362,0.3842344331693073,2100
