contrast,family,valence_type,group_col,n_groups,n_obs,avg_cluster_n,re_var,resid_var,icc,design_effect
rq1_base_sign_x_tuning,gemma,,family_id,84,16800,200.0,0.2214654830089893,1.6845626025979414,0.1161921404418701,24.12223594793215
rq1_base_sign_x_tuning,llama,,family_id,84,16800,200.0,0.21238279197703375,9.556972848754159,0.021739692952885258,5.326198897624167
rq1_base_sign_x_tuning,mistral,,family_id,84,16800,200.0,0.03861709318208953,1.4973016719330772,0.025142666434701665,6.003390620505631
rq1a_sign_x_valence_type,gemma,,set_id,21,8400,400.0,0.3741106229834397,0.5498995870426598,0.40487715278911535,162.54598396285704
rq1a_sign_x_valence_type,llama,,set_id,21,8400,400.0,0.2815114007467532,1.324232302841906,0.17531527610390524,70.95079516545819
rq1a_sign_x_valence_type,mistral,,set_id,21,8400,400.0,0.0294690958214129,0.22329060086639502,0.11658937800440228,47.519161823756505
rq1b,gemma,moral,family_id,42,4200,100.0,0.27168553650644683,0.07794213770174749,0.7770710288358498,77.93003185474913
rq1b,gemma,nonmoral,family_id,42,4200,100.0,1.1651230592846544,0.1533649072348319,0.8836812233943393,88.48444111603959
rq1b,llama,moral,family_id,42,4200,100.0,0.6279059013078978,0.35471814067027896,0.6390093000816716,64.26192070808548
rq1b,llama,nonmoral,family_id,42,4200,100.0,0.9275560794195552,1.0098145554641216,0.4787705887135258,48.39828828263905
rq1b,mistral,moral,family_id,42,4200,100.0,0.05127832340775823,0.02710678956088134,0.6541844677607819,65.7642623083174
rq1b,mistral,nonmoral,family_id,42,4200,100.0,0.12526802967370823,0.03949333372614026,0.7602997880619834,76.26967901813636
rq1c_typ_and_evoc,gemma,,family_id,84,8400,100.0,0.79856979444575,0.11565542483560526,0.8734935086055506,87.47585735194951
rq1c_typ_and_evoc,llama,,family_id,84,8400,100.0,0.9210393138787922,0.6822636512300471,0.5744636752519622,57.87190384994425
rq1c_typ_and_evoc,mistral,,family_id,84,8400,100.0,0.22042517283746016,0.033300786468000186,0.8687529389615612,87.00654095719456
rq1d_neu,gemma,,family_id,21,2100,100.0,0.09385943915413875,0.0694293428021413,0.5748064137024995,57.90583495654745
rq1d_neu,llama,,family_id,21,2100,100.0,0.09079179879040328,0.20491935929632804,0.30702865383177147,31.395836729345376
rq1d_neu,mistral,,family_id,21,2100,100.0,0.014283523079688097,0.052583847114823314,0.21360976270097898,22.147366507396917
