contrast,family,valence_type,term,wald_p,lrt_stat,lrt_df,lrt_p,p_wcb,disagrees_with_wcb
rq1_base_sign_x_tuning,gemma,,sign_c:tuning_c,5.272154452019633e-203,899.6005136763561,1,1.1985724232259918e-197,0.009004502251125562,False
rq1_base_sign_x_tuning,llama,,sign_c:tuning_c,3.9793534504566363e-84,373.4769403900136,1,3.2746571887365116e-83,0.022511255627813906,False
rq1_base_sign_x_tuning,mistral,,sign_c:tuning_c,0.20368188742832172,1.615693912259303,1,0.2036932569301895,0.9184592296148074,False
rq1a_sign_x_valence_type,gemma,,sign_c:vt_c,0.001406904710963438,10.190492367051775,1,0.0014116661683499924,0.5117558779389695,True
rq1a_sign_x_valence_type,llama,,sign_c:vt_c,2.531246145262001e-42,183.84089441326796,1,7.028213717757002e-42,0.0030015007503751876,False
rq1a_sign_x_valence_type,mistral,,sign_c:vt_c,3.4071780826821085e-94,413.5544009147561,1,6.172096663909716e-92,0.0,False
rq1b,gemma,moral,pred_c:sg_c,,21.03788467330378,1,4.502910874443237e-06,0.6978489244622311,True
rq1b,gemma,nonmoral,pred_c:sg_c,,68.96275803799563,1,1.0034045215265815e-16,0.3366683341670835,True
rq1b,llama,moral,pred_c:sg_c,,261.77878555133157,1,7.0272977425176095e-59,0.0,False
rq1b,llama,nonmoral,pred_c:sg_c,,495.5586030760842,1,8.797052175514539e-110,0.0005002501250625312,False
rq1b,mistral,moral,pred_c:sg_c,,574.8610116823511,1,4.919532079017899e-127,0.0,False
rq1b,mistral,nonmoral,pred_c:sg_c,,54.201374029174985,1,1.8096026558107463e-13,0.2546273136568284,True
rq1c_typicality_x_sign,gemma,,typ_c:sign_c,2.825640443839372e-193,836.0207087877498,1,7.956522922986181e-184,0.0,False
rq1c_evocativeness_x_sign,gemma,,evoc_c:sign_c,5.47025580024695e-32,137.42954900558107,1,9.712879660327018e-32,0.030015007503751877,False
rq1c_typicality_x_sign,llama,,typ_c:sign_c,1.489177166120698e-12,49.9123906653258,1,1.607662191198321e-12,0.4032016008004002,True
rq1c_evocativeness_x_sign,llama,,evoc_c:sign_c,0.004434681207839217,8.092716377374018,1,0.0044443501016983,0.3741870935467734,True
rq1c_typicality_x_sign,mistral,,typ_c:sign_c,8.314403766465719e-231,990.7216708138731,1,1.8665928625371343e-217,0.0,False
rq1c_evocativeness_x_sign,mistral,,evoc_c:sign_c,3.097610981558986e-15,61.973195847567695,1,3.4816435317442256e-15,0.1695847923961981,True
rq1d_typicality_within_neu,gemma,,typ_c,0.0,1479.3319656536823,1,0.0,0.0,False
rq1d_typicality_within_neu,llama,,typ_c,0.0,1222.5928447021925,1,7.503806072673003e-268,0.0,False
rq1d_typicality_within_neu,mistral,,typ_c,0.0,1101.4879219110735,1,1.568532848959034e-241,0.0,False
