variant_id,family_id,domain,valence,nonmoral_subdomain,sign,typicality,evocativeness,scenario,q_intentionality,q_blame,q_praise
ENV-MB-01-A,ENV-MB-01,Environment,MB,,bad,common,low,The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on the river and the town drawing water from it downstream. The plant manager knew that this would contaminate the town's water supply: a subsequent water-quality audit found contaminant levels in the river had risen well above the safety threshold used by the downstream town's treatment plant.,Did the plant manager intentionally contaminate the town's water supply? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MB-01-B,ENV-MB-01,Environment,MB,,bad,common,high,The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on the river and the town drawing water from it downstream. The plant manager knew that this would contaminate the town's water supply: residents of the downstream town later reported an outbreak of stomach illness traced to the tainted water supply.,Did the plant manager intentionally contaminate the town's water supply? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MB-01-C,ENV-MB-01,Environment,MB,,bad,uncommon,low,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on the river and the town drawing water from it downstream. The plant manager knew that this would contaminate the town's water supply: a subsequent water-quality audit found contaminant levels in the river had risen well above the safety threshold used by the downstream town's treatment plant.",Did the plant manager intentionally contaminate the town's water supply? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MB-01-D,ENV-MB-01,Environment,MB,,bad,uncommon,high,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on the river and the town drawing water from it downstream. The plant manager knew that this would contaminate the town's water supply: residents of the downstream town later reported an outbreak of stomach illness traced to the tainted water supply.",Did the plant manager intentionally contaminate the town's water supply? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MG-01-A,ENV-MG-01,Environment,MG,,good,common,low,The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on the river and the town drawing water from it downstream. The plant manager knew that this would improve the river's water quality: a subsequent water-quality audit found contaminant levels in the river had fallen well below the prior year's readings.,Did the plant manager intentionally improve the river's water quality? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MG-01-B,ENV-MG-01,Environment,MG,,good,common,high,"The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on the river and the town drawing water from it downstream. The plant manager knew that this would improve the river's water quality: fish that had been dying off in the area began thriving again along the riverbank, and the downstream town lifted its water advisory.",Did the plant manager intentionally improve the river's water quality? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MG-01-C,ENV-MG-01,Environment,MG,,good,uncommon,low,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on the river and the town drawing water from it downstream. The plant manager knew that this would improve the river's water quality: a subsequent water-quality audit found contaminant levels in the river had fallen well below the prior year's readings.",Did the plant manager intentionally improve the river's water quality? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MG-01-D,ENV-MG-01,Environment,MG,,good,uncommon,high,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on the river and the town drawing water from it downstream. The plant manager knew that this would improve the river's water quality: fish that had been dying off in the area began thriving again along the riverbank, and the downstream town lifted its water advisory.",Did the plant manager intentionally improve the river's water quality? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMB-01-A,ENV-NMB-01,Environment,NMB,aesthetic,bad,common,low,The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on nearby residents downwind of the plant. The plant manager knew that this would change the air's odor near the plant: a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably.,Did the plant manager intentionally change the air's odor near the plant? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMB-01-B,ENV-NMB-01,Environment,NMB,aesthetic,bad,common,high,"The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on nearby residents downwind of the plant. The plant manager knew that this would change the air's odor near the plant: residents downwind of the plant said the air now carried a faint, unfamiliar odor on humid days that hadn't been present before.",Did the plant manager intentionally change the air's odor near the plant? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
